name,fmt,title,abstract,authors
Till Schwämmle,poster,Functional dissection of the Xist locus at the onset of random X-chromosome inactivation,"Xist, the master regulator of X-chromosome inactivation (XCI) in mammals, is upregulated in the epiblast during the formative phase of pluripotency, specifically in females. In the past, its regulation has been tightly linked to repression during naive pluripotency. However the identity of activators at the onset of XCI remains unknown. To fill this gap, we perform a comprehensive CRISPR screen targeting transcription factors during the early differentiation of female mouse embryonic stem cells. We uncover two groups regulators: Early activators, including the X-linked transcription factor ZIC3, are transiently upregulated prior to full Xist activation. Since many of these factors are more highly expressed in XX cells, we suggest this early wave of activators might be necessary to restrict Xist expression to females. Late activators, including the key regulator of the epiblast OTX2, drive high transcript levels following Xist activation. Subsequently, we use a series of CRISPR screens targeting individual reporter constructs in order to functionally investigate the effect the identified activators on the cis-regulatory landscape of Xist. With this study, we provide a systems level view of the trans- and cis-regulatory network that links Xist activation to formative pluripotency and ensures female-specificity. ","Till Schwämmle, Gemma Noviello, Jade Scouarnec, Vivi Feng, Edda Schulz"
Tommaso Stentella,,,,
Uira Souto Melo,,,,
Ulf Schroeder,,,,
Ute Fischer,,,,
Vanessa Suckow,,,,
Vera Kalscheuer,poster,,,
Yan Zhao,poster,CAbiNet: Joint clustering and visualization of cells and genes for single-cell transcriptomics,"A fundamental analysis task for single-cell transcriptomics data is clustering with subsequent visualization of cell clusters. The genes responsible for the clustering are only inferred in a subsequent  step. Clustering cells and genes together would be the remit of biclustering algorithms, which are often bogged down by the size of single-cell data. Here we present ""Correspondence Analysis based Biclustering on Networks'' (CAbiNet) for joint clustering and visualization of single-cell RNA-sequencing data. CAbiNet performs efficient co-clustering of cells and their respective marker genes and jointly visualizes the biclusters in a non-linear embedding for easy and interactive visual exploration of the data.","Yan Zhao, Clemens Kohl, Martin Vingron"
Yaotian Zhang,talk,Controlling the composition and function of biomolecular condensates using a micropeptide “killswitch” ,"In recent years, the condensation behavior of biomolecules has emerged as a novel regulatory modality for shaping fundamental cellular processes, such as gene transcription, silencing, and chromatin remodeling. While significant insights have been gained through perturbation assays that dissect individual components of these biomolecular condensates, it is crucial to acknowledge their inherent complexity. Condensates are intricate assemblies, encompassing a diverse array of biomolecules, including proteins, RNA, and DNA, each contributing to the collective functionality of the condensate. Isolating individual components may provide only a partial glimpse into the inner workings of these condensates. To obtain a more comprehensive understanding of biomolecular condensates, it is imperative to investigate their emergent properties, such as the material states and how these properties facilitate their vital biological functions. Currently, tools for perturbing the material properties of condensates are limited. Therefore, we introduce a novel micro-peptide termed ""Killswitch (KS)"" designed to solidify condensates that enables us to understand condensate biology better and potentially progress to condensate-specific therapeutics. ","Yaotian Zhang, Henri Niskanen, Ida Stöppelkamp, Denes Hnisz"
Yufei Zhang,poster,Genome-Wide Search for Regulatory Elements​,"Promoter and enhancer are key factors in gene regulatory networks. Identification of these elements is the prerequisite for understanding their roles and functions in human body. Both of these elements have very unique chemical properties, which can be detected using different genome sequencing techniques. Our goal is to locate them with high accuracy using machine learning models based on these sequencing profiles.​","Yufei Zhang, Martin Vingron"
Zarah Meisen,,,,
Zhihan Zhu,poster,Multi-groups differentially methylated region identification with metilene,"Identifying differentially methylated regions (DMRs) among multiple groups is important in biomarker discovery, but accurate and fast algorithm is still to be developed currently. In this study, we propose a segmentation-based clustering method and integrate it into the current DMRs identification method termed metilene. The new method proves to be sensitive and efficient in simulation experiments, and can be applied to identify cell type specific DMRs and cancer subtype specific DMRs.","Zhihan Zhu, Steve Hoffmann and Helene Kretzmer"
david meierhofer,poster,Single Cell Proteomics,"Single-cell proteomics is an emerging field that aims to study the proteome of individual cells. It is becoming increasingly important in biological and medical research for understanding cellular heterogeneity, biomarker discovery, drug development, and elucidation of biological mechanisms. It has the potential to revolutionize our understanding of cellular processes at the single-cell level. Jointly operated by the FACS and Mass Spectrometry facilities, the CellenONE at MPIMG performs evidence-based sorting of single cells followed by mass spectrometry.","Melanie Piedavent-Salomon, Klaus von Knoblauch, Beata Lukuaszewska-Mc Greal,  Claudia Giesecke-Thiel, and David Meierhofer"
wuwanying,,,,
